species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Meleagris gallopavo,0.07756434292446385,0.04992026115930382,2.3204786060876362e-4,1.674826242641412e-4,0.027644081765160027,0.6435980668065318,0.0028930579304810074,2.86175888298626e-4,0.35640193319346825,Wild Turkey
Melospiza georgiana,0.09129013269688831,0.0151463355388604,1.8240137388148207e-4,9.227603122815153e-5,0.07614379715802791,0.1659142679653118,0.0010637717701313656,2.0441410698156573e-4,0.8340857320346882,Swamp Sparrow
Melospiza melodia,0.5718289224359363,0.19319557959096606,5.222199506846278e-4,6.126094066983078e-4,0.37863334284497024,0.33785555786155663,0.0011148621850951541,8.049869328556258e-4,0.6621444421384434,Song Sparrow
Mergus merganser,0.044477207810799856,0.021536386012172646,1.3915678065241444e-4,9.818310033841976e-5,0.02294082179862721,0.484211736127537,0.002677337727839626,1.703071660078001e-4,0.515788263872463,Common Merganser
Mergus serrator,0.03915525134129498,0.01447999306937414,1.4670814320813167e-4,9.239988968869492e-5,0.02467525827192084,0.3698097336461956,0.0027365570869705173,1.73381137665147e-4,0.6301902663538044,Red-breasted Merganser
Mniotilta varia,0.04262018054056241,0.01400235515486746,1.1001440163422168e-4,6.785127376656395e-5,0.028617825385694948,0.32853814735817843,0.00180378606312448,1.2925542123516927e-4,0.6714618526418216,Black-and-white Warbler
Molothrus ater,0.3047704310752028,0.11310484720131256,4.0527969153047056e-4,4.254596569883411e-4,0.19166558387389024,0.3711148972106276,0.001480663069894594,5.875947141454476e-4,0.6288851027893724,Brown-headed Cowbird
Myiarchus crinitus,0.12086212800384752,0.026836132556197604,2.121265116754874e-4,1.2179599993640346e-4,0.09402599544764992,0.22203921939338436,0.0010804545793706472,2.446056470241828e-4,0.7779607806066157,Great Crested Flycatcher
Nannopterum auritum,0.06521255064139954,0.03177206963101837,1.8318976167306189e-4,1.351168353606079e-4,0.03344048101038117,0.48720789661688507,0.002483161363841243,2.2762918964776648e-4,0.5127921033831149,Double-crested Cormorant
Oxyura jamaicensis,0.03417434837848587,0.012334647991814225,1.0255205527374633e-4,7.274163817433284e-5,0.021839700386671643,0.36093293879977484,0.0023882672972560747,1.2573094275139705e-4,0.6390670612002252,Ruddy Duck
