audio_index,common_name,scientific_name
0,White-breasted Guineafowl,Agelastes meleagrides
0.25,Black Guineafowl,Agelastes niger
0.015525114155251141,Vulturine Guineafowl,Acryllium vulturinum
0.2,Plumed Guineafowl,Guttera plumifera
0.043478260869565216,Eastern Crested Guineafowl,Guttera pucherani
0.1518987341772152,Western Crested Guineafowl,Guttera verreauxi
0.01905972045743329,Southern Crested Guineafowl,Guttera edouardi
0.20270270270270271,Stone Partridge,Ptilopachus petrosus
0.7619047619047619,Nahan's Partridge,Ptilopachus nahani
0.5714285714285714,Tawny-faced Quail,Rhynchortyx cinctus
0.3575969485060394,Mountain Quail,Oreortyx pictus
0.282793867120954,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
0.8223684210526315,Long-tailed Wood-Partridge,Dendrortyx macroura
0.8648648648648649,Bearded Wood-Partridge,Dendrortyx barbatus
0.18848167539267016,Banded Quail,Philortyx fasciatus
0.1966118260302981,Northern Bobwhite,Colinus virginianus
0.07311586051743532,Black-throated Bobwhite,Colinus nigrogularis
0.12487205731832139,Spot-bellied Bobwhite,Colinus leucopogon
0.09322033898305085,Crested Bobwhite,Colinus cristatus
0.02603220728901804,Scaled Quail,Callipepla squamata
0.18518518518518517,Elegant Quail,Callipepla douglasii
0.039465001776559566,California Quail,Callipepla californica
0.03145055490550651,Gambel's Quail,Callipepla gambelii
0.060715204527913555,Montezuma Quail,Cyrtonyx montezumae
0.12164948453608247,Ocellated Quail,Cyrtonyx ocellatus
0.3048780487804878,Singing Quail,Dactylortyx thoracicus
0.6601941747572816,Marbled Wood-Quail,Odontophorus gujanensis
0.18355359765051396,Spot-winged Wood-Quail,Odontophorus capueira
0.6979166666666666,Black-eared Wood-Quail,Odontophorus melanotis
0.16095890410958905,Black-fronted Wood-Quail,Odontophorus atrifrons
0.5185185185185185,Rufous-fronted Wood-Quail,Odontophorus erythrops
0.12403846153846154,Chestnut Wood-Quail,Odontophorus hyperythrus
0.06047966631908238,Dark-backed Wood-Quail,Odontophorus melanonotus
0.13802083333333334,Rufous-breasted Wood-Quail,Odontophorus speciosus
0.6,Tacarcuna Wood-Quail,Odontophorus dialeucos
14,Gorgeted Wood-Quail,Odontophorus strophium
5,Venezuelan Wood-Quail,Odontophorus columbianus
0.31316725978647686,Black-breasted Wood-Quail,Odontophorus leucolaemus
0.875,Stripe-faced Wood-Quail,Odontophorus balliviani
